0	0.941101
0.05	1.01545
0.1	0.452939
0.15	0.151084
0.2	0.333448
0.25	0.259719
0.3	-0.00653446
0.35	-0.445518
0.4	-1.19469
0.45	-0.819987
0.5	-0.367444
0.55	-0.221046
0.6	0.289008
0.65	0.224113
0.7	-0.474194
0.75	0.522125
0.8	0.528079
0.85	-0.578132
0.9	-0.160173
0.95	0.12201
1	-0.280025
1.05	0.0740162
1.1	0.0292327
1.15	-0.0732541
1.2	0.0316001
1.25	0.322727
1.3	-0.0661424
1.35	0.390926
1.4	0.454924
1.45	-0.0567299
1.5	-0.121399
1.55	-0.0161229
1.6	-0.788035
1.65	0.285606
1.7	-0.171479
1.75	-0.386276
1.8	0.337053
1.85	0.278775
1.9	-0.492028
1.95	-0.164646
2	0.333736
2.05	-0.0123901
2.1	-0.523455
2.15	0.600592
2.2	-0.500573
2.25	0.699456
2.3	0.00740619
2.35	0.316259
2.4	-0.53211
2.45	-0.454169
2.5	0.374695
2.55	-0.0329281
2.6	-0.656428
2.65	-0.643491
2.7	0.0691658
2.75	-0.260832
2.8	-0.185756
2.85	0.120612
2.9	-0.661676
2.95	0.650196
3	0.544654
3.05	0.0762722
3.1	-0.186115
3.15	0.000116924
3.2	-0.484808
3.25	0.0935479
3.3	0.732614
3.35	0.0775499
3.4	-0.314084
3.45	-0.275426
3.5	-0.0937282
3.55	0.414871
3.6	-0.109358
3.65	-0.383292
3.7	-0.097517
3.75	-0.358619
3.8	-0.706843
3.85	0.656267
3.9	-0.0163697
3.95	0.121637
4	-0.0379359
4.05	-0.0263728
4.1	0.605388
4.15	0.260499
4.2	0.656554
4.25	0.230889
4.3	0.196867
4.35	0.105003
4.4	0.441178
4.45	-0.228797
4.5	0.297266
4.55	-0.405041
4.6	-0.0795437
4.65	0.106942
4.7	-0.494328
4.75	0.30162
4.8	-0.245153
4.85	-0.0532984
4.9	-0.422756
4.95	0.302742
