5 
 0             5 
 3             7.2 
 7             0 
 1             2.4 
 2             8 
 4 
 0             3 
 5             6 
 6             3 
 3             2 
 4 
 3.2           1 
 7.1           1 
 8.4           5 
 5             7.1 
 3 
 1             1 
 3.3           5 
 4.2           2 
 4 
 2             2 
 5             2.1 
 5             5.1 
 2             5 
 4 
 3             3 
 6             6 
 6             2 
 3             4 
 4 
 0             3.2 
 5             6 
 6.2           3 
 3.2           0 
 4 
 3.3           1 
 7             1 
 8             5.1 
 5.1           7 
 3 
 1             1 
 3             5 
 4             2 
 5 
 0.2           5 
 3.1           7 
 7             0 
 1             2 
 2.4           8 
 4 
 0             3.1 
 5.2           6.3 
 6             3 
 3             1 
 4 
 3.2           1 
 7.1           1.2 
 8             5 
 5             7 
0 
